"PLN","EUR",.23
"EUR","PLN",4.34
"PLN","USD",.25
"PLN","RUB",16.43
"PLN","INR",18.21
"PLN","MXN",4.94
"EUR","USD",1.11
"EUR","RUB",71.40
"EUR","INR",79.09
"EUR","MXN",21.44
"USD","PLN",3.93
"USD","EUR",0.90
"USD","RUB",64.52
"USD","INR",71.48
"USD","MXN",19.37
"RUB","PLN",.061
"RUB","EUR",.014
"RUB","USD",.015
"RUB","INR",1.11
"RUB","MXN",.30
"INR","PLN",.055
"INR","EUR",.013
"INR","USD",.014
"INR","RUB",.90
"INR","MXN",.27
"MXN","PLN",.20
"MXN","EUR",.047
"MXN","USD",.052
"MXN","RUB",3.33
"MXN","INR",3.69